@id,@lat,@lon,surveillance:type,operator,direction
261326106,41.9004337,-87.6419063,ALPR,,175
2986637275,41.7508605,-87.6253803,ALPR,,180;160;170;150;190
7025421509,41.8909987,-87.6267914,ALPR,,165
9213232773,41.9858332,-87.7877242,ALPR,Chicago Police Department,180
9213245005,41.9238365,-87.7697797,ALPR,Chicago Police Department,90
9255130981,41.9283550,-87.7147747,ALPR,Chicago Police Department,90
9255130982,41.9533902,-87.7468795,ALPR,Chicago Police Department,90
9255130983,41.9240400,-87.7559999,ALPR,Chicago Police Department,90
9404107657,41.8762522,-87.6767545,ALPR,Chicago Police Department,270
10057056538,41.9185873,-87.6777295,ALPR,,160
10765186749,41.8910328,-87.6512495,ALPR,Illinois State Police,135
10765186750,41.8910366,-87.6510390,ALPR,Illinois State Police,135
10765186751,41.8912806,-87.6510946,ALPR,Illinois State Police,305
10765186752,41.8912781,-87.6508545,ALPR,Illinois State Police,305
10765186753,41.8963435,-87.6580738,ALPR,Illinois State Police,325
10765186754,41.8963467,-87.6578940,ALPR,Illinois State Police,325
10765186755,41.8963403,-87.6582558,ALPR,Illinois State Police,325
10765186756,41.8961142,-87.6580605,ALPR,Illinois State Police,145
10765186757,41.8961050,-87.6585688,ALPR,Illinois State Police,145
10765186758,41.8961091,-87.6583470,ALPR,Illinois State Police,145
10765186759,41.8961119,-87.6581908,ALPR,Illinois State Police,145
10767134880,41.8924780,-87.6478080,ALPR,Illinois State Police,270
10767134881,41.8925397,-87.6478250,ALPR,Illinois State Police,270
10767134882,41.8923747,-87.6475085,ALPR,Illinois State Police,90
10780034864,41.9283049,-87.7120746,ALPR,Chicago Police Department,270
10780034865,41.9282475,-87.7133038,ALPR,Chicago Police Department,200
10838066134,41.8713334,-87.7545845,ALPR,Illinois State Police,90;100
10838066135,41.8716782,-87.7549045,ALPR,Illinois State Police,270;280
10838066139,41.8717457,-87.7491340,ALPR,Illinois State Police,260;270;280;290
10878734452,41.9381913,-87.8066930,ALPR,Chicago Police Department,0
10886812428,41.9536098,-87.7274529,ALPR,Chicago Police Department,90
10886812429,41.9536980,-87.7277825,ALPR,Chicago Police Department,270
10886839489,41.9242959,-87.7465076,ALPR,Chicago Police Department,270
10886839490,41.9285925,-87.7563975,ALPR,Chicago Police Department,165
10887548046,41.8383774,-87.6317821,ALPR,Chicago Police Department,165
10913619205,41.8717090,-87.7303733,ALPR,,220
10918389235,41.9678207,-87.7605193,ALPR,Chicago Police Department,90
10918389236,41.9678242,-87.7639090,ALPR,Chicago Police Department,125
10926547591,41.8832139,-87.6322357,ALPR,Chicago Police Department,75
10926547592,41.8832073,-87.6322357,ALPR,Chicago Police Department,85
10926547593,41.8830986,-87.6325002,ALPR,Chicago Police Department,30
10926547594,41.8845543,-87.6326478,ALPR,Chicago Police Department,155
10926547595,41.8843586,-87.6310388,ALPR,Chicago Police Department,160
10926547596,41.8843608,-87.6310354,ALPR,Chicago Police Department,145
10926547597,41.8844058,-87.6311160,ALPR,Chicago Police Department,280
10926547598,41.8844116,-87.6311125,ALPR,Chicago Police Department,295
10948354983,41.9899459,-87.7485403,ALPR,Chicago Police Department,270
10948354984,41.9898953,-87.6603320,ALPR,Chicago Police Department,180
10962672187,41.9756091,-87.7686348,ALPR,Chicago Police Department,75
10968615073,41.9549002,-87.6444903,ALPR,Chicago Police Department,330
10968615077,41.9600609,-87.6459726,ALPR,Chicago Police Department,350
10968615080,41.9678192,-87.6473936,ALPR,Chicago Police Department,345
10968615081,41.9743311,-87.6490633,ALPR,Chicago Police Department,330
10968643037,41.9539793,-87.7130578,ALPR,Chicago Police Department,115
10968643038,41.9273395,-87.6312749,ALPR,Chicago Police Department,310
10968643041,41.9399217,-87.6374104,ALPR,Chicago Police Department,300
10968643046,41.9415862,-87.6387820,ALPR,Chicago Police Department,315
10968643051,41.9527971,-87.6444452,ALPR,Chicago Police Department,350
10968651874,41.9857117,-87.6539089,ALPR,Chicago Police Department,250
10968651875,41.9854738,-87.6565461,ALPR,Chicago Police Department,90
10968651876,41.9854928,-87.6565476,ALPR,Chicago Police Department,90
10968651877,41.9855590,-87.6568245,ALPR,Chicago Police Department,270
10968651878,41.9855404,-87.6568241,ALPR,Chicago Police Department,270
10968651883,41.9837772,-87.6536320,ALPR,Chicago Police Department,180
10968651884,41.9762918,-87.6511120,ALPR,Chicago Police Department,145
10968651885,41.9654013,-87.6479309,ALPR,Chicago Police Department,130
10968651887,41.9583814,-87.6461733,ALPR,Chicago Police Department,145
10968651889,41.9414356,-87.6395173,ALPR,Chicago Police Department,135
10968651890,41.9272523,-87.6319888,ALPR,Chicago Police Department,165
10997293627,41.9466050,-87.7128451,ALPR,Chicago Police Department,270
11016329327,41.9027727,-87.7264479,ALPR,Chicago Police Department,250
11016775374,41.8868374,-87.6444349,ALPR,Chicago Police Department,270
11016775375,41.8867926,-87.6441659,ALPR,Chicago Police Department,90
11016775376,41.8869218,-87.6442443,ALPR,Chicago Police Department,0
11016775377,41.8866913,-87.6443180,ALPR,Chicago Police Department,180
11040424647,41.8910839,-87.6476645,ALPR,Chicago Police Department,180
11040424650,41.8744331,-87.6276786,ALPR,Chicago Police Department,180
